"Side","Deck","Num","GID","HomePlanet","CryoSleep","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","IID","Spending","HasSpent","GroupSize","GroupNumCabinsNA","GroupNumCabins","GroupNumTransported","GroupNumNotTransported","GroupTransportedPct","GroupNumInCabinMode","GroupNumHomePlanets","GroupNumDestinations","GroupHomePlanetMode","GroupDestinationMode","CabinSize","CabinNumTransported","CabinNumNotTransported","CabinTransportedPct","CabinNumCryo","SideNeighbors","SideNeighborsTransported","SideNeighborsTransportedPct","FrontNeighbors","FrontNeighborsTransported","FrontNeighborsTransportedPct","BackNeighbors","BackNeighborsTransported","BackNeighborsTransportedPct","DiagFrontNeighbors","DiagFrontNeighborsTransported","DiagFrontNeighborsTransportedPct","DiagBackNeighbors","DiagBackNeighborsTransported","DiagBackNeighborsTransportedPct","Cabin","PassengerId","Name","Transported","Train","LastName","GroupCabinMode"
"P","A",14,1901,"Europa","TRUE","55 Cancri e",42,"FALSE",0,0,0,0,0,1,0,FALSE,2,0,1,2,0,1,2,1,1,"Europa","55 Cancri e",2,2,0,1,2,3,2,0.666666666666667,0,0,0.0567999999999999,2,0,0,0,0,0.0507166666666667,0,0,0.0630166666666665,"A/14/P","1901_01","Castork Tractive","TRUE","TRUE","Tractive","A/14/P"
"P","A",14,1901,"Europa","TRUE","55 Cancri e",36,"FALSE",0,0,0,0,0,2,0,FALSE,2,0,1,2,0,1,2,1,1,"Europa","55 Cancri e",2,2,0,1,2,3,2,0.666666666666667,0,0,0.0617999999999999,2,0,0,0,0,0.0516333333333333,0,0,0.0632666666666665,"A/14/P","1901_02","Neshath Tractive","TRUE","TRUE","Tractive","A/14/P"
"S","A",14,1294,"Europa","TRUE","TRAPPIST-1e",28,"FALSE",0,0,0,0,0,1,0,FALSE,3,0,1,2,1,0.666666666666667,3,1,2,"Europa","TRAPPIST-1e",3,2,1,0.666666666666667,2,2,2,1,0,0,0.0618888888888888,0,0,0.0554999999999985,0,0,0.0455833333333333,2,0,0,"A/14/S","1294_01","Aldhib Gulcepusy","TRUE","TRUE","Gulcepusy","A/14/S"
"S","A",14,1294,"Europa","FALSE","TRAPPIST-1e",28,"TRUE",134.1351,0,105.620166666665,0,0,3,239.755266666665,TRUE,3,0,1,2,1,0.666666666666667,3,1,2,"Europa","TRAPPIST-1e",3,2,1,0.666666666666667,2,2,2,1,0,0,0.0626666666666666,0,0,0.0651666666666652,0,0,0.0555952380952381,2,0,0,"A/14/S","1294_03","Dscheat Gulcepusy","FALSE","TRUE","Gulcepusy","A/14/S"
"S","A",14,1294,"Europa","TRUE","PSO J318.5-22",30,"FALSE",0,0,0,0,0,2,0,FALSE,3,0,1,2,1,0.666666666666667,3,1,2,"Europa","TRAPPIST-1e",3,2,1,0.666666666666667,2,2,2,1,0,0,0.0638888888888888,0,0,0.0583333333333319,0,0,0.04725,2,0,0,"A/14/S","1294_02","Chamak Plegred","TRUE","TRUE","Plegred","A/14/S"
"P","A",15,1904,"Europa","FALSE","55 Cancri e",31,"FALSE",19,607,0,1003.90550625,2756,1,4385.90550625,TRUE,1,0,1,0,0,0.448996428571428,1,1,1,"Europa","55 Cancri e",1,0,0,0.424121428571429,0,0,0,0.0472166666666649,2,1,0.5,2,2,1,2,2,1,3,2,0.666666666666667,"A/15/P","1904_01","Sceleon Scerodbox",NA,"FALSE","Scerodbox","A/15/P"
"S","A",15,1422,"Europa","FALSE","55 Cancri e",48,"FALSE",58,105,0,7536,103,3,7802,TRUE,3,0,1,0,0,0.448142857142857,3,1,2,"Europa","55 Cancri e",3,0,0,0.438380952380953,1,0,0,0.059616666666665,2,2,1,3,2,0.666666666666667,2,1,0.5,2,2,1,"A/15/S","1422_03","Grasath Qualelfic",NA,"FALSE","Qualelfic","A/15/S"
"S","A",15,1422,"Europa","TRUE","55 Cancri e",31,"FALSE",0,0,0,0,0,1,0,FALSE,3,0,1,0,0,0.43075238095238,3,1,2,"Europa","55 Cancri e",3,0,0,0.461721428571429,1,0,0,0.0426166666666649,2,2,1,3,2,0.666666666666667,2,1,0.5,2,2,1,"A/15/S","1422_01","Naslon Qualelfic",NA,"FALSE","Qualelfic","A/15/S"
"S","A",15,1422,"Europa","FALSE","TRAPPIST-1e",37,"FALSE",45,17,213,3183,161,2,3619,TRUE,3,0,1,0,0,0.44980238095238,3,1,2,"Europa","55 Cancri e",3,0,0,0.489826190476191,1,0,0,0.0430833333333317,2,2,1,3,2,0.666666666666667,2,1,0.5,2,2,1,"A/15/S","1422_02","Tabdhib Qualelfic",NA,"FALSE","Qualelfic","A/15/S"
"P","A",16,2084,"Europa","FALSE","TRAPPIST-1e",40,"FALSE",19,10,1,4759,6007,1,10796,TRUE,2,0,1,1,1,0.5,2,1,1,"Europa","TRAPPIST-1e",2,1,1,0.5,1,2,2,1,0,0,0.0475833333333332,0,0,0.0466666666666652,1,1,1,0,0,0.0585833333333332,"A/16/P","2084_01","Aston Boltund","FALSE","TRUE","Boltund","A/16/P"
"P","A",16,2084,"Europa","TRUE","TRAPPIST-1e",31.7931980116973,"FALSE",0,0,0,0,0,2,0,FALSE,2,0,1,1,1,0.5,2,1,1,"Europa","TRAPPIST-1e",2,1,1,0.5,1,2,2,1,0,0,0.0362142857142855,0,0,0.0323333333333318,1,1,1,0,0,0.0292499999999996,"A/16/P","2084_02","Dyonon Boltund","TRUE","TRUE","Boltund","A/16/P"
"S","A",16,1529,"Europa","FALSE","TRAPPIST-1e",30,"FALSE",0,0,0,0,0,2,0,FALSE,2,0,1,2,0,1,2,1,2,"Europa","PSO J318.5-22",2,2,0,1,0,2,1,0.5,1,1,1,0,0,0.0375833333333319,0,0,0.044,0,0,0.0502499999999998,"A/16/S","1529_02","Krab Slable","TRUE","TRUE","Slable","A/16/S"
"S","A",16,1529,"Europa","FALSE","PSO J318.5-22",25,"TRUE",0,7069,0,45,282,1,7396,TRUE,2,0,1,2,0,1,2,1,2,"Europa","PSO J318.5-22",2,2,0,1,0,2,1,0.5,1,1,1,0,0,0.0547999999999986,0,0,0.0486666666666667,0,0,0.0651666666666665,"A/16/S","1529_01","Almino Slable","TRUE","TRUE","Slable","A/16/S"
"P","A",17,2245,"Europa","TRUE","55 Cancri e",43,"FALSE",0,0,0,0,0,1,0,FALSE,2,0,1,0,0,0.449845238095237,2,1,2,"Europa","55 Cancri e",2,0,0,0.4485,2,1,1,1,1,0,0,2,1,0.5,1,0,0,2,2,1,"A/17/P","2245_01","Propent Hyling",NA,"FALSE","Hyling","A/17/P"
"P","A",17,2245,"Europa","TRUE","TRAPPIST-1e",45,"TRUE",0,0,0,0,0,2,0,FALSE,2,0,1,0,0,0.455095238095238,2,1,2,"Europa","55 Cancri e",2,0,0,0.4527,2,1,1,1,1,0,0,2,1,0.5,1,0,0,2,2,1,"A/17/P","2245_02","Izares Hyling",NA,"FALSE","Hyling","A/17/P"
"S","A",17,1539,"Europa","FALSE","55 Cancri e",32,"FALSE",54,3782,0,21,5,1,3862,TRUE,1,0,1,1,0,1,1,1,1,"Europa","55 Cancri e",1,1,0,1,0,0,0,0.0373333333333315,1,0,0,2,2,1,1,0,0,2,1,0.5,"A/17/S","1539_01","Alyadum Barmant","TRUE","TRUE","Barmant","A/17/S"
"P","A",18,2302,"Europa","FALSE","TRAPPIST-1e",54,"TRUE",0,3381,0,4463,34,1,7878,TRUE,1,0,1,0,1,0,1,1,1,"Europa","TRAPPIST-1e",1,0,1,0,0,1,0,0,3,1,0.333333333333333,0,0,0.0486666666666653,1,0,0,1,1,1,"A/18/P","2302_01","Sterion Dedometeel","FALSE","TRUE","Dedometeel","A/18/P"
"S","A",18,1555,"Europa","FALSE","TRAPPIST-1e",45,"FALSE",0,1389,0,2987,0,1,4376,TRUE,1,0,1,0,1,0,1,1,1,"Europa","TRAPPIST-1e",1,0,1,0,0,1,0,0,1,0,0,1,1,1,3,1,0.333333333333333,0,0,0.0440714285714284,"A/18/S","1555_01","Alcorix Spistory","FALSE","TRUE","Spistory","A/18/S"
"P","A",19,2506,"Europa","TRUE","55 Cancri e",39,"FALSE",0,0,0,0,0,2,0,FALSE,3,0,1,1,2,0.333333333333333,3,1,1,"Europa","55 Cancri e",3,1,2,0.333333333333333,1,1,0,0,2,1,0.5,1,0,0,4,1,0.25,1,0,0,"A/19/P","2506_02","Mariton Apenelexy","TRUE","TRUE","Apenelexy","A/19/P"
"P","A",19,2506,"Europa","FALSE","55 Cancri e",38,"FALSE",0,2506,46,11001,5,1,13558,TRUE,3,0,1,1,2,0.333333333333333,3,1,1,"Europa","55 Cancri e",3,1,2,0.333333333333333,1,1,0,0,2,1,0.5,1,0,0,4,1,0.25,1,0,0,"A/19/P","2506_01","Caphirk Apenelexy","FALSE","TRUE","Apenelexy","A/19/P"
"P","A",19,2506,"Europa","FALSE","55 Cancri e",23,"FALSE",36,2467,0,381,803,3,3687,TRUE,3,0,1,1,2,0.333333333333333,3,1,1,"Europa","55 Cancri e",3,1,2,0.333333333333333,1,1,0,0,2,1,0.5,1,0,0,4,1,0.25,1,0,0,"A/19/P","2506_03","Alchird Apenelexy","FALSE","TRUE","Apenelexy","A/19/P"
"S","A",19,1653,"Europa","FALSE","TRAPPIST-1e",47,"FALSE",4,1303,830,774,2,1,2913,TRUE,1,0,1,0,1,0,1,1,1,"Europa","TRAPPIST-1e",1,0,1,0,0,3,1,0.333333333333333,4,1,0.25,1,0,0,2,1,0.5,1,0,0,"A/19/S","1653_01","Phernar Oderient","FALSE","TRUE","Oderient","A/19/S"
"P","A",2,202,"Europa","FALSE","55 Cancri e",36.9447333333333,"FALSE",0,2433,542.982436813187,878,443,2,4296.98243681319,TRUE,2,0,2,2,0,1,1,1,1,"Europa","55 Cancri e",1,1,0,1,0,1,0,0,1,1,1,0,0,0.0673839137645094,1,1,1,3,3,1,"A/2/P","0202_02","Vegas Embleng","TRUE","TRUE","Embleng","A/2/P"
"S","A",2,97,"Europa","FALSE","TRAPPIST-1e",54,"FALSE",0,1208,0,3,637,1,1848,TRUE,1,0,1,0,1,0,1,1,1,"Europa","TRAPPIST-1e",1,0,1,0,0,1,1,1,1,1,1,3,3,1,1,1,1,0,0,0.0472499999999998,"A/2/S","0097_01","Alchium Fictful","FALSE","TRUE","Fictful","A/2/S"
"P","A",20,2547,"Europa","FALSE","55 Cancri e",41,"FALSE",0,12809,2,2835,1514,2,17160,TRUE,2,1,1,1,1,0.5,1,1,1,"Europa","55 Cancri e",2,1,1,0.5,0,4,1,0.25,2,1,0.5,3,1,0.333333333333333,1,1,1,1,0,0,"A/20/P","2547_02","Coxak Sometery","TRUE","TRUE","Sometery","A/20/P"
"P","A",20,2547,"Europa","FALSE","55 Cancri e",37,"FALSE",0,100,0,1402,1462,1,2964,TRUE,2,1,1,1,1,0.5,1,1,1,"Europa","55 Cancri e",2,1,1,0.5,0,4,1,0.25,2,1,0.5,3,1,0.333333333333333,1,1,1,1,0,0,"A/20/P","2547_01","Alatrix Sometery","FALSE","TRUE","Sometery","A/20/P"
"S","A",20,1661,"Europa","TRUE","TRAPPIST-1e",48,"FALSE",0,0,0,0,0,3,0,FALSE,4,0,1,1,3,0.25,4,1,1,"Europa","TRAPPIST-1e",4,1,3,0.25,1,2,1,0.5,1,1,1,1,0,0,2,1,0.5,3,1,0.333333333333333,"A/20/S","1661_03","Quarkib Fringh","TRUE","TRUE","Fringh","A/20/S"
"S","A",20,1661,"Europa","FALSE","TRAPPIST-1e",56,"FALSE",0,0,0,0,0,1,0,FALSE,4,0,1,1,3,0.25,4,1,1,"Europa","TRAPPIST-1e",4,1,3,0.25,1,2,1,0.5,1,1,1,1,0,0,2,1,0.5,3,1,0.333333333333333,"A/20/S","1661_01","Arin Fringh","FALSE","TRUE","Fringh","A/20/S"
"S","A",20,1661,"Europa","FALSE","TRAPPIST-1e",37,"FALSE",0,2390,0,1306,1053.11336666667,4,4749.11336666667,TRUE,4,0,1,1,3,0.25,4,1,1,"Europa","TRAPPIST-1e",4,1,3,0.25,1,2,1,0.5,1,1,1,1,0,0,2,1,0.5,3,1,0.333333333333333,"A/20/S","1661_04","Branev Fringh","FALSE","TRUE","Fringh","A/20/S"
"S","A",20,1661,"Europa","FALSE","TRAPPIST-1e",57,"FALSE",0,62,0,2136,178,2,2376,TRUE,4,0,1,1,3,0.25,4,1,1,"Europa","TRAPPIST-1e",4,1,3,0.25,1,2,1,0.5,1,1,1,1,0,0,2,1,0.5,3,1,0.333333333333333,"A/20/S","1661_02","Almino Earmeter","FALSE","TRUE","Earmeter","A/20/S"
"P","A",21,2628,"Europa","TRUE","55 Cancri e",25,"FALSE",0,0,0,0,0,1,0,FALSE,2,0,1,1,1,0.5,2,1,1,"Europa","55 Cancri e",2,1,1,0.5,1,1,1,1,4,0,0,2,1,0.5,1,1,1,4,1,0.25,"A/21/P","2628_01","Graviph Amoutake","TRUE","TRUE","Amoutake","A/21/P"
