"Age","CabinNumCryo","CabinSize","CryoSleep","Deck","Destination","FoodCourt","GID","GroupSize","HasSpent","HomePlanet","IID","Num","RoomService","ShoppingMall","Side","Spa","Spending","VIP","VRDeck","Transported","Cabin","PassengerId","Name","Train","LastName","GroupTrain","GroupNumCabinsNA","GroupNumCabins","GroupNumTransported","GroupNumNotTransported","GroupCabinMode","GroupNumInCabinMode","GroupNumHomePlanets","GroupNumDestinations","GroupHomePlanetMode","GroupDestinationMode","CabinNumNATransported","CabinNumTransported","CabinNumNotTransported","CabinTransportedPct","SideNeighbors","SideNeighborsTransported","SideNeighborsTransportedPct","FrontNeighbors","FrontNeighborsTransported","FrontNeighborsTransportedPct","BackNeighbors","BackNeighborsTransported","BackNeighborsTransportedPct","DiagFrontNeighbors","DiagFrontNeighborsTransported","DiagFrontNeighborsTransportedPct","DiagBackNeighbors","DiagBackNeighborsTransported","DiagBackNeighborsTransportedPct"
34,1,2,"TRUE","A","TRAPPIST-1e",0,8307,2,FALSE,"Europa",2,100,0,0,"S",0,0,"FALSE",0,"TRUE","A/100/S","8307_02","Sabiton Unkcal","TRUE","Unkcal","TRUE",0,1,2,0,"A/100/S",2,1,2,"Europa","55 Cancri e",0,2,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0
27,1,2,"FALSE","A","55 Cancri e",1337,8307,2,TRUE,"Europa",1,100,0,1929,"S",0,3266,"TRUE",0,"TRUE","A/100/S","8307_01","Porrimp Unkcal","TRUE","Unkcal","TRUE",0,1,2,0,"A/100/S",2,1,2,"Europa","55 Cancri e",0,2,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0
25,0,2,"FALSE","A","55 Cancri e",1673,8363,2,TRUE,"Europa",1,101,0,0,"S",642,2927,"FALSE",612,"FALSE","A/101/S","8363_01","Shail Crelaxle","TRUE","Crelaxle","TRUE",0,1,0,2,"A/101/S",2,1,2,"Europa","55 Cancri e",0,0,2,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0
26,0,2,"FALSE","A","TRAPPIST-1e",690,8363,2,TRUE,"Europa",2,101,0,1,"S",1030,3994,"FALSE",2273,"FALSE","A/101/S","8363_02","Dira Crelaxle","TRUE","Crelaxle","TRUE",0,1,0,2,"A/101/S",2,1,2,"Europa","55 Cancri e",0,0,2,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0
41,0,1,"FALSE","A","TRAPPIST-1e",0,8521,1,FALSE,"Europa",1,102,0,0,"S",0,0,"FALSE",0,"FALSE","A/102/S","8521_01","Castab Cuplial","TRUE","Cuplial","TRUE",0,1,0,1,"A/102/S",1,1,1,"Europa","TRAPPIST-1e",0,0,1,0,0,0,0,3,1,0.333333333333333,2,0,0,0,0,0,0,0,0
29,1,3,"FALSE","A","TRAPPIST-1e",4455,8656,3,TRUE,"Europa",1,103,0,0,"S",1663,10553,"FALSE",4435,"FALSE","A/103/S","8656_01","Antinon Imparmle","TRUE","Imparmle","TRUE",0,1,1,2,"A/103/S",3,1,2,"Europa","55 Cancri e",0,1,2,0.333333333333333,0,0,0,3,1,0.333333333333333,1,0,0,0,0,0,0,0,0
38,1,3,"FALSE","A","55 Cancri e",1298,8656,3,TRUE,"Europa",2,103,0,0,"S",1841,4686,"TRUE",1547,"FALSE","A/103/S","8656_02","Almino Rotter","TRUE","Rotter","TRUE",0,1,1,2,"A/103/S",3,1,2,"Europa","55 Cancri e",0,1,2,0.333333333333333,0,0,0,3,1,0.333333333333333,1,0,0,0,0,0,0,0,0
29,1,3,"TRUE","A","55 Cancri e",0,8656,3,FALSE,"Europa",3,103,0,0,"S",0,0,"TRUE",0,"TRUE","A/103/S","8656_03","Eltares Imparmle","TRUE","Imparmle","TRUE",0,1,1,2,"A/103/S",3,1,2,"Europa","55 Cancri e",0,1,2,0.333333333333333,0,0,0,3,1,0.333333333333333,1,0,0,0,0,0,0,0,0
20,0,3,"FALSE","A","55 Cancri e",0,8719,3,FALSE,"Europa",3,104,0,0,"S",0,0,"FALSE",0,"TRUE","A/104/S","8719_03","Edaron Invebodene","TRUE","Invebodene","TRUE",0,1,1,2,"A/104/S",3,1,2,"Europa","55 Cancri e",0,1,2,0.333333333333333,0,0,0,0,0,NA,3,1,0.333333333333333,0,0,0,0,0,0
54,0,3,"FALSE","A","55 Cancri e",1821,8719,3,TRUE,"Europa",2,104,0,2370,"S",949,5186,"FALSE",46,"FALSE","A/104/S","8719_02","Astrak Alcemblery","TRUE","Alcemblery","TRUE",0,1,1,2,"A/104/S",3,1,2,"Europa","55 Cancri e",0,1,2,0.333333333333333,0,0,0,0,0,NA,3,1,0.333333333333333,0,0,0,0,0,0
33,0,3,"FALSE","A","TRAPPIST-1e",3076,8719,3,TRUE,"Europa",1,104,0,0,"S",3,4073,"TRUE",994,"FALSE","A/104/S","8719_01","Naslon Invebodene","TRUE","Invebodene","TRUE",0,1,1,2,"A/104/S",3,1,2,"Europa","55 Cancri e",0,1,2,0.333333333333333,0,0,0,0,0,NA,3,1,0.333333333333333,0,0,0,0,0,0
45,0,2,"FALSE","A","55 Cancri e",2914,8839,2,TRUE,"Europa",2,105,17,0,"S",4,4748,"FALSE",1813,"FALSE","A/105/S","8839_02","Sulaton Pinoffent","FALSE","Pinoffent","FALSE",0,1,0,0,"A/105/S",2,1,2,"Europa","55 Cancri e",2,0,0,NA,0,0,0,1,1,1,3,1,0.333333333333333,0,0,0,0,0,0
65,0,2,"FALSE","A","TRAPPIST-1e",2462,8839,2,TRUE,"Europa",1,105,0,0,"S",15,2653,"FALSE",176,"TRUE","A/105/S","8839_01","Askera Pinoffent","FALSE","Pinoffent","FALSE",0,1,0,0,"A/105/S",2,1,2,"Europa","55 Cancri e",2,0,0,NA,0,0,0,1,1,1,3,1,0.333333333333333,0,0,0,0,0,0
28,1,1,"TRUE","A","55 Cancri e",0,9038,1,FALSE,"Europa",1,106,0,0,"S",0,0,"FALSE",0,"TRUE","A/106/S","9038_01","Betenar Listive","TRUE","Listive","TRUE",0,1,1,0,"A/106/S",1,1,1,"Europa","55 Cancri e",0,1,0,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0
13,0,1,"FALSE","A","TRAPPIST-1e",838,9073,2,TRUE,"Europa",1,107,24,1069,"S",1376,3488,"FALSE",181,"FALSE","A/107/S","9073_01","Marazha Shricatory","TRUE","Shricatory","TRUE",0,2,1,1,"A/107/S",1,1,2,"Europa","55 Cancri e",0,0,1,0,0,0,0,0,0,NA,1,1,1,0,0,0,0,0,0
48,0,1,"FALSE","A","TRAPPIST-1e",658,9093,1,TRUE,"Europa",1,108,0,0,"S",6812,7470,"FALSE",0,"FALSE","A/108/S","9093_01","Minchib Clugete","FALSE","Clugete","FALSE",0,1,0,0,"A/108/S",1,1,1,"Europa","TRAPPIST-1e",1,0,0,NA,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0
62,1,1,"TRUE","A","55 Cancri e",0,9166,1,FALSE,"Europa",1,109,0,0,"S",0,0,"FALSE",0,"TRUE","A/109/S","9166_01","Askeid Monsintic","FALSE","Monsintic","FALSE",0,1,0,0,"A/109/S",1,1,1,"Europa","55 Cancri e",1,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
42,0,2,"FALSE","A","TRAPPIST-1e",2983,1319,2,TRUE,"Europa",1,11,13,0,"P",0,6307,"FALSE",3311,"FALSE","A/11/P","1319_01","Polar Couseced","FALSE","Couseced","FALSE",0,1,0,0,"A/11/P",2,1,1,"Europa","TRAPPIST-1e",2,0,0,NA,1,1,1,0,0,NA,1,0,0,0,0,NA,1,1,1
33,0,2,"FALSE","A","TRAPPIST-1e",139,1319,2,TRUE,"Europa",2,11,0,1,"P",1707,2188,"FALSE",341,"FALSE","A/11/P","1319_02","Geonon Couseced","FALSE","Couseced","FALSE",0,1,0,0,"A/11/P",2,1,1,"Europa","TRAPPIST-1e",2,0,0,NA,1,1,1,0,0,NA,1,0,0,0,0,NA,1,1,1
56,1,1,"TRUE","A","55 Cancri e",0,1004,1,FALSE,"Europa",1,11,0,0,"S",0,0,"FALSE",0,"TRUE","A/11/S","1004_01","Aldun Wassird","TRUE","Wassird","TRUE",0,1,1,0,"A/11/S",1,1,1,"Europa","55 Cancri e",0,1,0,1,0,0,NA,0,0,NA,1,1,1,0,0,NA,1,0,0
33,0,3,"FALSE","A","TRAPPIST-1e",977,1343,3,TRUE,"Europa",1,12,3,0,"P",1908,10445,"FALSE",7557,"FALSE","A/12/P","1343_01","Kabiak Daterle","FALSE","Daterle","FALSE",0,1,0,0,"A/12/P",3,1,2,"Europa","55 Cancri e",3,0,0,NA,0,0,NA,2,0,0,0,0,NA,0,0,NA,1,1,1
27,0,3,"FALSE","A","55 Cancri e",461,1343,3,TRUE,"Europa",3,12,2201,0,"P",251,3072,"FALSE",159,"FALSE","A/12/P","1343_03","Winon Daterle","FALSE","Daterle","FALSE",0,1,0,0,"A/12/P",3,1,2,"Europa","55 Cancri e",3,0,0,NA,0,0,NA,2,0,0,0,0,NA,0,0,NA,1,1,1
47,0,3,"FALSE","A","55 Cancri e",4192,1343,3,TRUE,"Europa",2,12,0,888,"P",901,5983,"FALSE",2,"TRUE","A/12/P","1343_02","Furudah Daterle","FALSE","Daterle","FALSE",0,1,0,0,"A/12/P",3,1,2,"Europa","55 Cancri e",3,0,0,NA,0,0,NA,2,0,0,0,0,NA,0,0,NA,1,1,1
32,0,1,"FALSE","A","55 Cancri e",2983,1016,1,TRUE,"Europa",1,12,0,0,"S",6282,9339,"FALSE",74,"FALSE","A/12/S","1016_01","Grafi Presectle","FALSE","Presectle","FALSE",0,1,0,0,"A/12/S",1,1,1,"Europa","55 Cancri e",1,0,0,NA,0,0,NA,0,0,NA,1,1,1,2,0,0,0,0,NA
35,0,2,"FALSE","A","TRAPPIST-1e",1,1860,2,TRUE,"Europa",1,13,0,0,"P",0,3157,"TRUE",3156,"FALSE","A/13/P","1860_01","Caiah Headfair","TRUE","Headfair","TRUE",0,1,0,2,"A/13/P",2,1,2,"Europa","55 Cancri e",0,0,2,0,0,0,NA,2,2,1,0,0,NA,3,2,0.666666666666667,0,0,NA
35,0,2,"FALSE","A","55 Cancri e",3441,1860,2,TRUE,"Europa",2,13,95,0,"P",391,4245,"FALSE",318,"FALSE","A/13/P","1860_02","Krazet Headfair","TRUE","Headfair","TRUE",0,1,0,2,"A/13/P",2,1,2,"Europa","55 Cancri e",0,0,2,0,0,0,NA,2,2,1,0,0,NA,3,2,0.666666666666667,0,0,NA
28,0,1,"FALSE","A","55 Cancri e",109,1137,2,TRUE,"Europa",2,13,0,0,"S",1514,2565,"TRUE",942,"FALSE","A/13/S","1137_02","Majora Unings","FALSE","Unings","FALSE",0,2,0,0,"A/13/S",1,1,2,"Europa","55 Cancri e",1,0,0,NA,2,0,0,3,2,0.666666666666667,0,0,NA,2,2,1,0,0,NA
42,2,2,"TRUE","A","55 Cancri e",0,1901,2,FALSE,"Europa",1,14,0,0,"P",0,0,"FALSE",0,"TRUE","A/14/P","1901_01","Castork Tractive","TRUE","Tractive","TRUE",0,1,2,0,"A/14/P",2,1,1,"Europa","55 Cancri e",0,2,0,1,3,2,0.666666666666667,0,0,NA,2,0,0,0,0,NA,0,0,NA
36,2,2,"TRUE","A","55 Cancri e",0,1901,2,FALSE,"Europa",2,14,0,0,"P",0,0,"FALSE",0,"TRUE","A/14/P","1901_02","Neshath Tractive","TRUE","Tractive","TRUE",0,1,2,0,"A/14/P",2,1,1,"Europa","55 Cancri e",0,2,0,1,3,2,0.666666666666667,0,0,NA,2,0,0,0,0,NA,0,0,NA
28,2,3,"TRUE","A","TRAPPIST-1e",0,1294,3,FALSE,"Europa",1,14,0,0,"S",0,0,"FALSE",0,"TRUE","A/14/S","1294_01","Aldhib Gulcepusy","TRUE","Gulcepusy","TRUE",0,1,2,1,"A/14/S",3,1,2,"Europa","TRAPPIST-1e",0,2,1,0.666666666666667,2,2,1,0,0,NA,0,0,NA,0,0,NA,2,0,0
28,2,3,"FALSE","A","TRAPPIST-1e",0,1294,3,TRUE,"Europa",3,14,172.207040740741,96.6101689081223,"S",0,268.817209648863,"TRUE",0,"FALSE","A/14/S","1294_03","Dscheat Gulcepusy","TRUE","Gulcepusy","TRUE",0,1,2,1,"A/14/S",3,1,2,"Europa","TRAPPIST-1e",0,2,1,0.666666666666667,2,2,1,0,0,NA,0,0,NA,0,0,NA,2,0,0
30,2,3,"TRUE","A","PSO J318.5-22",0,1294,3,FALSE,"Europa",2,14,0,0,"S",0,0,"FALSE",0,"TRUE","A/14/S","1294_02","Chamak Plegred","TRUE","Plegred","TRUE",0,1,2,1,"A/14/S",3,1,2,"Europa","TRAPPIST-1e",0,2,1,0.666666666666667,2,2,1,0,0,NA,0,0,NA,0,0,NA,2,0,0
31,0,1,"FALSE","A","55 Cancri e",607,1904,1,TRUE,"Europa",1,15,19,0,"P",597.365523829572,3979.36552382957,"FALSE",2756,"FALSE","A/15/P","1904_01","Sceleon Scerodbox","FALSE","Scerodbox","FALSE",0,1,0,0,"A/15/P",1,1,1,"Europa","55 Cancri e",1,0,0,NA,0,0,NA,2,1,0.5,2,2,1,2,2,1,3,2,0.666666666666667
48,1,3,"FALSE","A","55 Cancri e",105,1422,3,TRUE,"Europa",3,15,58,0,"S",7536,7802,"FALSE",103,"FALSE","A/15/S","1422_03","Grasath Qualelfic","FALSE","Qualelfic","FALSE",0,1,0,0,"A/15/S",3,1,2,"Europa","55 Cancri e",3,0,0,NA,0,0,NA,2,2,1,3,2,0.666666666666667,2,1,0.5,2,2,1
31,1,3,"TRUE","A","55 Cancri e",0,1422,3,FALSE,"Europa",1,15,0,0,"S",0,0,"FALSE",0,"TRUE","A/15/S","1422_01","Naslon Qualelfic","FALSE","Qualelfic","FALSE",0,1,0,0,"A/15/S",3,1,2,"Europa","55 Cancri e",3,0,0,NA,0,0,NA,2,2,1,3,2,0.666666666666667,2,1,0.5,2,2,1
37,1,3,"FALSE","A","TRAPPIST-1e",17,1422,3,TRUE,"Europa",2,15,45,213,"S",3183,3619,"FALSE",161,"FALSE","A/15/S","1422_02","Tabdhib Qualelfic","FALSE","Qualelfic","FALSE",0,1,0,0,"A/15/S",3,1,2,"Europa","55 Cancri e",3,0,0,NA,0,0,NA,2,2,1,3,2,0.666666666666667,2,1,0.5,2,2,1
40,1,2,"FALSE","A","TRAPPIST-1e",10,2084,2,TRUE,"Europa",1,16,19,1,"P",4759,10796,"FALSE",6007,"FALSE","A/16/P","2084_01","Aston Boltund","TRUE","Boltund","TRUE",0,1,1,1,"A/16/P",2,1,1,"Europa","TRAPPIST-1e",0,1,1,0.5,2,2,1,0,0,NA,0,0,NA,1,1,1,0,0,NA
34.1269576613037,1,2,"TRUE","A","TRAPPIST-1e",0,2084,2,FALSE,"Europa",2,16,0,0,"P",0,0,"FALSE",0,"TRUE","A/16/P","2084_02","Dyonon Boltund","TRUE","Boltund","TRUE",0,1,1,1,"A/16/P",2,1,1,"Europa","TRAPPIST-1e",0,1,1,0.5,2,2,1,0,0,NA,0,0,NA,1,1,1,0,0,NA
30,0,2,"FALSE","A","TRAPPIST-1e",0,1529,2,FALSE,"Europa",2,16,0,0,"S",0,0,"FALSE",0,"TRUE","A/16/S","1529_02","Krab Slable","TRUE","Slable","TRUE",0,1,2,0,"A/16/S",2,1,2,"Europa","PSO J318.5-22",0,2,0,1,2,1,0.5,1,1,1,0,0,NA,0,0,NA,0,0,NA
25,0,2,"FALSE","A","PSO J318.5-22",7069,1529,2,TRUE,"Europa",1,16,0,0,"S",45,7396,"TRUE",282,"TRUE","A/16/S","1529_01","Almino Slable","TRUE","Slable","TRUE",0,1,2,0,"A/16/S",2,1,2,"Europa","PSO J318.5-22",0,2,0,1,2,1,0.5,1,1,1,0,0,NA,0,0,NA,0,0,NA
43,2,2,"TRUE","A","55 Cancri e",0,2245,2,FALSE,"Europa",1,17,0,0,"P",0,0,"FALSE",0,"TRUE","A/17/P","2245_01","Propent Hyling","FALSE","Hyling","FALSE",0,1,0,0,"A/17/P",2,1,2,"Europa","55 Cancri e",2,0,0,NA,1,1,1,1,0,0,2,1,0.5,1,0,0,2,2,1
45,2,2,"TRUE","A","TRAPPIST-1e",0,2245,2,FALSE,"Europa",2,17,0,0,"P",0,0,"TRUE",0,"TRUE","A/17/P","2245_02","Izares Hyling","FALSE","Hyling","FALSE",0,1,0,0,"A/17/P",2,1,2,"Europa","55 Cancri e",2,0,0,NA,1,1,1,1,0,0,2,1,0.5,1,0,0,2,2,1
32,0,1,"FALSE","A","55 Cancri e",3782,1539,1,TRUE,"Europa",1,17,54,0,"S",21,3862,"FALSE",5,"TRUE","A/17/S","1539_01","Alyadum Barmant","TRUE","Barmant","TRUE",0,1,1,0,"A/17/S",1,1,1,"Europa","55 Cancri e",0,1,0,1,0,0,NA,1,0,0,2,2,1,1,0,0,2,1,0.5
54,0,1,"FALSE","A","TRAPPIST-1e",3381,2302,1,TRUE,"Europa",1,18,0,0,"P",4463,7878,"TRUE",34,"FALSE","A/18/P","2302_01","Sterion Dedometeel","TRUE","Dedometeel","TRUE",0,1,0,1,"A/18/P",1,1,1,"Europa","TRAPPIST-1e",0,0,1,0,1,0,0,3,1,0.333333333333333,0,0,NA,1,0,0,1,1,1
45,0,1,"FALSE","A","TRAPPIST-1e",1389,1555,1,TRUE,"Europa",1,18,0,0,"S",2987,4376,"FALSE",0,"FALSE","A/18/S","1555_01","Alcorix Spistory","TRUE","Spistory","TRUE",0,1,0,1,"A/18/S",1,1,1,"Europa","TRAPPIST-1e",0,0,1,0,1,0,0,1,0,0,1,1,1,3,1,0.333333333333333,0,0,NA
39,1,3,"TRUE","A","55 Cancri e",0,2506,3,FALSE,"Europa",2,19,0,0,"P",0,0,"FALSE",0,"TRUE","A/19/P","2506_02","Mariton Apenelexy","TRUE","Apenelexy","TRUE",0,1,1,2,"A/19/P",3,1,1,"Europa","55 Cancri e",0,1,2,0.333333333333333,1,0,0,2,1,0.5,1,0,0,4,1,0.25,1,0,0
38,1,3,"FALSE","A","55 Cancri e",2506,2506,3,TRUE,"Europa",1,19,0,46,"P",11001,13558,"FALSE",5,"FALSE","A/19/P","2506_01","Caphirk Apenelexy","TRUE","Apenelexy","TRUE",0,1,1,2,"A/19/P",3,1,1,"Europa","55 Cancri e",0,1,2,0.333333333333333,1,0,0,2,1,0.5,1,0,0,4,1,0.25,1,0,0
23,1,3,"FALSE","A","55 Cancri e",2467,2506,3,TRUE,"Europa",3,19,36,0,"P",381,3687,"FALSE",803,"FALSE","A/19/P","2506_03","Alchird Apenelexy","TRUE","Apenelexy","TRUE",0,1,1,2,"A/19/P",3,1,1,"Europa","55 Cancri e",0,1,2,0.333333333333333,1,0,0,2,1,0.5,1,0,0,4,1,0.25,1,0,0
47,0,1,"FALSE","A","TRAPPIST-1e",1303,1653,1,TRUE,"Europa",1,19,4,830,"S",774,2913,"FALSE",2,"FALSE","A/19/S","1653_01","Phernar Oderient","TRUE","Oderient","TRUE",0,1,0,1,"A/19/S",1,1,1,"Europa",NA,0,0,1,0,3,1,0.333333333333333,4,1,0.25,1,0,0,2,1,0.5,1,0,0
36.2104879191543,0,1,"FALSE","A","55 Cancri e",2433,202,2,TRUE,"Europa",2,2,0,441.316894172643,"P",878,4195.31689417264,"FALSE",443,"TRUE","A/2/P","0202_02","Vegas Embleng","TRUE","Embleng","TRUE",0,2,2,0,"A/2/P",1,1,1,"Europa","55 Cancri e",0,1,0,1,1,0,0,1,1,1,0,0,NA,1,1,1,3,3,1
54,0,1,"FALSE","A","TRAPPIST-1e",1208,97,1,TRUE,"Europa",1,2,0,0,"S",3,1848,"FALSE",637,"FALSE","A/2/S","0097_01","Alchium Fictful","TRUE","Fictful","TRUE",0,1,0,1,"A/2/S",1,1,1,"Europa","TRAPPIST-1e",0,0,1,0,1,1,1,1,1,1,3,3,1,1,1,1,0,0,NA
41,0,2,"FALSE","A","55 Cancri e",12809,2547,2,TRUE,"Europa",2,20,0,2,"P",2835,17160,"FALSE",1514,"TRUE","A/20/P","2547_02","Coxak Sometery","TRUE","Sometery","TRUE",1,1,1,1,"A/20/P",1,1,1,"Europa","55 Cancri e",0,1,1,0.5,4,1,0.25,2,1,0.5,3,1,0.333333333333333,1,1,1,1,0,0
37,0,2,"FALSE","A","55 Cancri e",100,2547,2,TRUE,"Europa",1,20,0,0,"P",1402,2964,"FALSE",1462,"FALSE","A/20/P","2547_01","Alatrix Sometery","TRUE","Sometery","TRUE",1,1,1,1,"A/20/P",1,1,1,"Europa","55 Cancri e",0,1,1,0.5,4,1,0.25,2,1,0.5,3,1,0.333333333333333,1,1,1,1,0,0
48,1,4,"TRUE","A","TRAPPIST-1e",0,1661,4,FALSE,"Europa",3,20,0,0,"S",0,0,"FALSE",0,"TRUE","A/20/S","1661_03","Quarkib Fringh","TRUE","Fringh","TRUE",0,1,1,3,"A/20/S",4,1,1,"Europa","TRAPPIST-1e",0,1,3,0.25,2,1,0.5,1,1,1,1,0,0,2,1,0.5,3,1,0.333333333333333
56,1,4,"FALSE","A","TRAPPIST-1e",0,1661,4,FALSE,"Europa",1,20,0,0,"S",0,0,"FALSE",0,"FALSE","A/20/S","1661_01","Arin Fringh","TRUE","Fringh","TRUE",0,1,1,3,"A/20/S",4,1,1,"Europa","TRAPPIST-1e",0,1,3,0.25,2,1,0.5,1,1,1,1,0,0,2,1,0.5,3,1,0.333333333333333
37,1,4,"FALSE","A","TRAPPIST-1e",2390,1661,4,TRUE,"Europa",4,20,0,0,"S",1306,4317.75918179985,"FALSE",621.759181799848,"FALSE","A/20/S","1661_04","Branev Fringh","TRUE","Fringh","TRUE",0,1,1,3,"A/20/S",4,1,1,"Europa","TRAPPIST-1e",0,1,3,0.25,2,1,0.5,1,1,1,1,0,0,2,1,0.5,3,1,0.333333333333333
57,1,4,"FALSE","A","TRAPPIST-1e",62,1661,4,TRUE,"Europa",2,20,0,0,"S",2136,2376,"FALSE",178,"FALSE","A/20/S","1661_02","Almino Earmeter","TRUE","Earmeter","TRUE",0,1,1,3,"A/20/S",4,1,1,"Europa","TRAPPIST-1e",0,1,3,0.25,2,1,0.5,1,1,1,1,0,0,2,1,0.5,3,1,0.333333333333333
25,1,2,"TRUE","A","55 Cancri e",0,2628,2,FALSE,"Europa",1,21,0,0,"P",0,0,"FALSE",0,"TRUE","A/21/P","2628_01","Graviph Amoutake","TRUE","Amoutake","TRUE",0,1,1,1,"A/21/P",2,1,1,"Europa","55 Cancri e",0,1,1,0.5,1,1,1,4,0,0,2,1,0.5,1,1,1,4,1,0.25
51,1,2,"FALSE","A","55 Cancri e",6,2628,2,TRUE,"Europa",2,21,0,0,"P",2085,2158,"FALSE",67,"FALSE","A/21/P","2628_02","Sadlam Amoutake","TRUE","Amoutake","TRUE",0,1,1,1,"A/21/P",2,1,1,"Europa","55 Cancri e",0,1,1,0.5,1,1,1,4,0,0,2,1,0.5,1,1,1,4,1,0.25
